,client_id,frequency,avg_pagetime,avg_unique_pageviews,transactions,goal2_completions,goal3_completions,goal4_completions,month,date,hour,minute,os,medium,channel,region,browser,device_category,stage,prev_stage1,prev_stage2,prev_stage3,ground_truth
0,GA1109613130.1595804199,135,6.8,1.9333333333333333,0,9,0,0,7,26,16,11,Macintosh,cpc,Paid Search,British Columbia,Safari,desktop,Window,Buyer,Hesistant,Hesistant,Hesistant Customer
1,GA1075047720.1592434341,8,5.0,2.75,0,0,0,0,6,17,15,55,iOS,cpc,Paid Search,Manitoba,Safari,mobile,Normal,Normal,Normal,Normal,Window Shoppers
2,GA1055651295.1598443203,4,4.0,1.5,0,0,0,0,8,26,5,1,Macintosh,organic,Organic Search,Quebec,Safari,desktop,Normal,Normal,Normal,Normal,Other Customers
3,GA1025175419.1593454953,2,0.0,1.0,0,0,0,0,6,29,11,22,iOS,cpc,Display,British Columbia,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
4,GA1174745847.1592228050,6,0.6666666666666666,1.0,0,0,0,0,6,19,12,53,Android,cpc,Display,Ontario,Samsung Internet,mobile,Normal,Normal,Normal,Normal,Other Customers
5,GA103723863.1589691752,2,1.0,1.0,0,0,0,0,6,6,22,12,Windows,organic,Organic Search,Ontario,Firefox,desktop,Normal,Normal,Normal,Normal,Other Customers
6,GA117238287.1590876585,26,10.846153846153847,1.3076923076923077,0,0,0,0,5,30,15,24,Android,cpc,Paid Search,Ontario,Chrome,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
7,GA1089380160.1596143338,12,4.5,2.3333333333333335,0,0,0,0,8,1,0,53,Android,organic,Organic Search,Alberta,Samsung Internet,mobile,Normal,Normal,Normal,Normal,Window Shoppers
8,GA1089614976.1593110487,4,5.0,2.0,0,0,0,0,6,25,11,42,Macintosh,cpc,Paid Search,Ontario,Safari,desktop,Normal,Normal,Normal,Normal,Other Customers
9,GA1070407943.1593972726,2,3.0,1.0,0,0,0,0,7,5,11,12,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
10,GA1136625480.1579554257,10,9.4,2.0,0,0,0,0,8,31,9,13,Windows,organic,Organic Search,Alberta,Firefox,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
11,GA1037486543.1591921837,10,4.6,2.0,0,0,0,0,6,11,17,34,iOS,referral,Social,Ontario,Safari (in-app),mobile,Normal,Normal,Normal,Normal,Other Customers
12,GA101992682.1593027606,2,1.0,1.0,0,0,0,0,6,24,12,40,(not set),referral,Social,(not set),(not set),desktop,Normal,Normal,Normal,Normal,Other Customers
13,GA1132607722.1591400864,24,12.416666666666666,1.5,0,0,0,0,6,5,16,59,iOS,organic,Organic Search,Manitoba,Safari,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
14,GA119039662.1589783161,10,41.6,0.6,0,0,0,0,7,21,8,4,Android,organic,Organic Search,Alberta,Samsung Internet,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
15,GA1202894280.1591445631,2,1.0,1.0,0,0,0,0,6,6,5,13,Android,cpc,Display,Quebec,Samsung Internet,tablet,Normal,Normal,Normal,Normal,Other Customers
16,GA107038628.1597555528,2,2.0,1.0,0,0,0,0,8,15,22,25,iOS,cpc,Display,British Columbia,Safari,mobile,Normal,Normal,Normal,Normal,Other Customers
17,GA1007980446.1596797985,4,4.5,2.0,0,0,0,0,8,7,4,0,iOS,organic,Organic Search,Quebec,Safari,tablet,Normal,Normal,Normal,Normal,Other Customers
18,GA1064275878.1592222022,2,0.0,1.0,0,0,0,0,6,15,4,53,iOS,cpc,Display,Quebec,Safari (in-app),mobile,Normal,Normal,Normal,Normal,Other Customers
19,GA1134532659.1597514805,2,0.0,1.0,0,0,0,0,8,15,11,6,Windows,(none),Direct,Maharashtra,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
20,GA102322429.1594650227,2,0.0,1.0,0,0,0,0,7,13,7,23,Windows,organic,Organic Search,New Brunswick,Chrome,desktop,Normal,Normal,Normal,Normal,Other Customers
21,GA1228621848.1597792294,16,39.125,0.5,0,0,0,0,8,18,16,22,Android,cpc,Paid Search,Prince Edward Island,Chrome,mobile,Normal,Normal,Normal,Normal,Hesistant Customer
22,GA1232167922.1595725327,6,8.333333333333334,1.6666666666666667,0,0,0,0,7,25,18,46,Android,cpc,Paid Search,Ontario,Chrome,mobile,Normal,Normal,Normal,Normal,Other Customers
23,GA1011795114.1589313395,18,9.11111111111111,1.6666666666666667,0,0,0,0,7,17,11,10,Windows,organic,Organic Search,Ontario,Chrome,desktop,Normal,Normal,Normal,Normal,Hesistant Customer
24,GA1187840133.1598153154,2,1.0,1.0,0,0,0,0,8,22,20,25,iOS,referral,Social,Ontario,Safari (in-app),mobile,Normal,Normal,Normal,Normal,Other Customers
25,GA1115788293.1597853243,15,9.0,2.0,0,0,0,0,8,19,9,9,iOS,cpc,Paid Search,Ontario,Safari,mobile,Window,Hesistant,Normal,Hesistant,Hesistant Customer
26,GA1119272175.1592758237,2,1.0,1.0,0,0,0,0,6,21,9,49,Android,cpc,Display,Ontario,Samsung Internet,mobile,Normal,Normal,Normal,Normal,Other Customers
27,GA1152802460.1592615055,4,5.0,2.5,0,0,0,0,6,19,18,3,Android,referral,Social,Ontario,Android Webview,mobile,Normal,Normal,Normal,Normal,Window Shoppers
28,GA1025022639.1596297233,14,5.142857142857143,2.4285714285714284,0,0,0,0,8,1,8,59,Windows,organic,Organic Search,Ontario,Chrome,desktop,Normal,Normal,Normal,Normal,Window Shoppers
